"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","SK","HU","TKL ALL","Runs"
"","125373","","349748","","Will O'Steen","N CAROLINA","73","G","428","10","1","12","5","171"
"","125681","","393242","","James Brockermeyer","MIAMI FL","52","C","638","10","0","7","15","299"
"","126259","","381506","","Noah Josey","VIRGINIA","77","G","749","11","0","5","18","353"
"","126666","","411207","","Joe Crocker","BAYLOR","78","G","6","1","0","0","0","5"
"","128158","","367976","","Tautai Li'o Marks","UCLA","73","G","4","1","0","0","0","4"
"","128427","","385205","","Emmanuel Pregnon","OREGON","75","G","553","10","0","2","10","268"
"","128961","","395547","","Fisher Anderson","STANFORD","74","C","618","10","1","12","7","254"
"","129434","","375499","","Kahlil Benson","INDIANA","67","T","684","11","3","19","9","359"
"","129473","","384850","","Logan Jones","IOWA","65","C","586","10","1","2","12","319"
"","129593","","350339","","Jeff Persi","PITTSBURGH","78","T","259","6","1","7","3","87"
"","129659","","350390","","Martes Lewis","NWESTERN","75","T","447","10","2","4","5","237"
"","129684","","350217","","Turner Corcoran","NEBRASKA","69","T","284","10","1","4","5","144"
"","129773","","360981","","Nick Dawkins","PENN STATE","53","C","614","10","2","3","9","297"
"","129877","","350820","","Bryan Felter","RUTGERS","65","G","724","10","3","7","9","321"
"","129909","","386663","","Isaiah Wright","MARYLAND","74","G","550","10","1","11","5","187"
"","129912","","384499","","Dylan Barrett","IOWA STATE","61","G","389","10","1","7","3","185"
"","129922","","393454","","Kerry Kodanko","WISCONSIN","73","G","187","7","1","3","5","97"
"","130364","","351193","","Jalen Grant","NC STATE","74","C","643","10","1","11","3","266"
"","130396","","351201","","Alex Wollschlaeger","KENTUCKY","50","T","697","10","3","20","15","328"
"","130496","","351296","","Marcellus Marshall","MINNESOTA","74","G","600","10","3","12","8","251"
"","130632","","351582","","Vinny Sciury","TEXAS TECH","71","G","94","6","0","0","1","59"
"","131773","","369165","","Drake Metcalf","VIRGINIA","60","G","717","11","1","9","8","331"
"","131791","","359523","","Bruno Fina","DUKE","75","T","664","10","3","14","5","243"
"","131826","","351945","","Courtland Ford","UCLA","77","T","489","9","7","19","9","213"
"","131856","","361843","","Alex Harrison","UTAH","79","C","139","7","0","2","0","91"
